"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","FUNDING RATE","COMMISSION","CONVERSION RATE","CONVERSION FEE","PL","AMOUNT","BALANCE"
"58","2025-01-31 09:47:44 -12","MARKET_ORDER","CLIENT_ORDER","EUR/CAD","","1000000.00","Buy","","","1.54000","","","","","","","","",""
"59","2025-01-31 09:47:44 -12","ORDER_FILL","MARKET_ORDER","EUR/CAD","1.50787","1000000.00","Buy","230.2619","","","","0.00000","","0.0000","","0.0000","0.00000","","101647.63"
"60","2025-01-31 09:47:44 -12","TAKE_PROFIT_ORDER","ON_FILL","","1.54000","","","","","","","","","","","","","",""
"61","2025-01-31 09:49:42 -12","MARKET_ORDER","CLIENT_ORDER","USD/HKD","","20000.00","Buy","","","7.81000","","","","","","","","",""
"62","2025-01-31 09:49:42 -12","ORDER_FILL","MARKET_ORDER","USD/HKD","7.79334","20000.00","Buy","0.8854","","","","0.00000","","0.0000","","0.0000","0.00000","","101647.63"
"63","2025-01-31 09:49:42 -12","TAKE_PROFIT_ORDER","ON_FILL","","7.81000","","","","","","","","","","","","","",""
"64","2025-01-31 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-54.67450","","","","-0.2518","","","101592.95"
"","2025-01-31 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-24.73300","-0.0102","","","","","",""
"","2025-01-31 10:00:00 -12","DAILY_FINANCING","Trade ID: 59","EUR/CAD","","","","","","","","-29.09770","-0.0102","","","","","",""
"","2025-01-31 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.84380","-0.0154","","","","","",""
"65","2025-02-01 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","101592.95"
"","2025-02-01 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","0.00000","-0.0102","","","","","",""
"","2025-02-01 10:00:00 -12","DAILY_FINANCING","Trade ID: 59","EUR/CAD","","","","","","","","0.00000","-0.0102","","","","","",""
"","2025-02-01 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","-0.0154","","","","","",""
"66","2025-02-02 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","101592.95"
"","2025-02-02 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","0.00000","-0.0102","","","","","",""
"","2025-02-02 10:00:00 -12","DAILY_FINANCING","Trade ID: 59","EUR/CAD","","","","","","","","0.00000","-0.0102","","","","","",""
"","2025-02-02 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","-0.0154","","","","","",""
"67","2025-02-03 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-68.54390","","","","-0.3309","","","101524.41"
"","2025-02-03 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-31.22630","-0.0129","","","","","",""
"","2025-02-03 10:00:00 -12","DAILY_FINANCING","Trade ID: 59","EUR/CAD","","","","","","","","-36.73680","-0.0129","","","","","",""
"","2025-02-03 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.58080","-0.0106","","","","","",""
"68","2025-02-04 03:10:38 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","1.48500","","","","","","","","","","","","","",""
"69","2025-02-04 04:19:17 -12","ORDER_FILL","STOP_LOSS_ORDER","EUR/CAD","1.48497","1000000.00","Sell","146.7546","","","","0.00000","","0.0000","0.7023","-78.8979","-16083.25890","","85441.15"
"70","2025-02-04 04:19:17 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","",""
"71","2025-02-04 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-30.34140","","","","-0.1452","","","85410.81"
"","2025-02-04 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-29.63460","-0.0122","","","","","",""
"","2025-02-04 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.70680","-0.0129","","","","","",""
"72","2025-02-05 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-30.53840","","","","-0.1464","","","85380.27"
"","2025-02-05 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-29.94660","-0.0123","","","","","",""
"","2025-02-05 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.59180","-0.0108","","","","","",""
"73","2025-02-06 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-31.66160","","","","-0.1509","","","85348.61"
"","2025-02-06 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-30.86160","-0.0127","","","","","",""
"","2025-02-06 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.80000","-0.0146","","","","","",""
"74","2025-02-07 09:36:28 -12","MARKET_ORDER","CLIENT_ORDER","EUR/CAD","","1000.00","Sell","","","1.47520","","","","","","","","",""
"75","2025-02-07 09:36:28 -12","ORDER_FILL","MARKET_ORDER","EUR/CAD","1.47549","1000.00","Sell","0.1505","","","","0.00000","","0.0000","0.7033","-0.1065","-21.71810","","85326.89"
"76","2025-02-07 09:36:53 -12","MARKET_ORDER","CLIENT_ORDER","ZAR/JPY","","1000.00","Sell","","","8.20000","","","","","","","","",""
"77","2025-02-07 09:36:53 -12","ORDER_FILL","MARKET_ORDER","ZAR/JPY","8.21000","1000.00","Sell","0.0826","","","","0.00000","","0.0000","","0.0000","0.00000","","85326.89"
"78","2025-02-07 09:36:53 -12","TAKE_PROFIT_ORDER","ON_FILL","","8.20000","","","","","","","","","","","","","",""
"79","2025-02-07 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-31.31950","","","","-0.1497","","","85295.57"
"","2025-02-07 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-30.65910","-0.0127","","","","","",""
"","2025-02-07 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.64110","-0.0117","","","","","",""
"","2025-02-07 10:00:00 -12","DAILY_FINANCING","Trade ID: 77","ZAR/JPY","","","","","","","","-0.01930","-0.1292","","","","","",""
"80","2025-02-08 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","85295.57"
"","2025-02-08 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","0.00000","-0.0127","","","","","",""
"","2025-02-08 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","-0.0117","","","","","",""
"","2025-02-08 10:00:00 -12","DAILY_FINANCING","Trade ID: 77","ZAR/JPY","","","","","","","","0.00000","-0.1292","","","","","",""
"81","2025-02-09 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","85295.57"
"","2025-02-09 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","0.00000","-0.0127","","","","","",""
"","2025-02-09 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","-0.0117","","","","","",""
"","2025-02-09 10:00:00 -12","DAILY_FINANCING","Trade ID: 77","ZAR/JPY","","","","","","","","0.00000","-0.1292","","","","","",""
"82","2025-02-09 10:04:55 -12","ORDER_FILL","TAKE_PROFIT_ORDER","ZAR/JPY","8.13700","1000.00","Buy","0.1156","","","","0.00000","","0.0000","0.0066","-0.0023","0.47990","","85296.05"
"83","2025-02-10 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-30.68770","","","","-0.1472","","","85265.36"
"","2025-02-10 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-30.11780","-0.0125","","","","","",""
"","2025-02-10 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.56990","-0.0104","","","","","",""
"84","2025-02-11 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-29.83440","","","","-0.1445","","","85235.53"
"","2025-02-11 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-29.54950","-0.0122","","","","","",""
"","2025-02-11 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.28490","-0.0052","","","","","",""
"85","2025-02-12 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-29.04310","","","","-0.1388","","","85206.49"
"","2025-02-12 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-28.39650","-0.0117","","","","","",""
"","2025-02-12 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.64660","-0.0118","","","","","",""
"86","2025-02-13 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","85206.49"
"","2025-02-13 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","0.00000","0.0000","","","","","",""
"","2025-02-13 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","0.0000","","","","","",""
"87","2025-02-14 04:46:56 -12","MARKET_ORDER","CLIENT_ORDER","USD/JPY","","1000.00","Buy","","","152.28000","","","","","","","","",""
"88","2025-02-14 04:46:56 -12","ORDER_FILL","MARKET_ORDER","USD/JPY","152.26000","1000.00","Buy","0.0460","","","","0.00000","","0.0000","","0.0000","0.00000","","85206.49"
"89","2025-02-14 04:46:56 -12","TAKE_PROFIT_ORDER","ON_FILL","","152.28000","","","","","","","","","","","","","",""
"90","2025-02-14 04:50:13 -12","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","1000.00","Sell","","1.05000","1.04950","","","","","","","","",""
"91","2025-02-14 04:50:13 -12","ORDER_FILL","MARKET_ORDER","EUR/USD","1.04981","1000.00","Sell","0.0850","","","","0.00000","","0.0000","","0.0000","0.00000","","85206.49"
"92","2025-02-14 04:50:13 -12","TAKE_PROFIT_ORDER","ON_FILL","","1.04950","","","","","","","","","","","","","",""
"93","2025-02-14 04:50:13 -12","STOP_LOSS_ORDER","ON_FILL","","1.05000","","","","","","","","","","","","","",""
"94","2025-02-14 04:50:17 -12","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.05000","1000.00","Buy","0.0800","","","","0.00000","","0.0000","1.0000","0.0000","-0.19000","","85206.30"
"95","2025-02-14 04:50:17 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","",""
"96","2025-02-14 05:05:42 -12","ORDER_FILL","TAKE_PROFIT_ORDER","USD/JPY","152.28000","1000.00","Sell","0.0460","","","","0.00000","","0.0000","0.0065","-0.0007","0.13070","","85206.43"
"97","2025-02-14 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-32.53680","","","","-0.1562","","","85173.89"
"","2025-02-14 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-31.88470","-0.0130","","","","","",""
"","2025-02-14 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.65210","-0.0119","","","","","",""
"98","2025-02-15 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","85173.89"
"","2025-02-15 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","0.00000","-0.0130","","","","","",""
"","2025-02-15 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","-0.0119","","","","","",""
"99","2025-02-16 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","85173.89"
"","2025-02-16 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","0.00000","-0.0130","","","","","",""
"","2025-02-16 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","-0.0119","","","","","",""
"100","2025-02-17 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-31.47680","","","","-0.1498","","","85142.41"
"","2025-02-17 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-30.63300","-0.0125","","","","","",""
"","2025-02-17 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.84380","-0.0154","","","","","",""
"101","2025-02-17 10:02:12 -12","LIMIT_ORDER","CLIENT_ORDER","EUR/USD","1.04823","2000000.00","Sell","","1.04900","1.04750","","","","","","","","",""
"102","2025-02-17 10:32:43 -12","ORDER_FILL","LIMIT_ORDER","EUR/USD","1.04825","2000000.00","Sell","320.0000","","","","0.00000","","0.0000","","0.0000","0.00000","","85142.41"
"103","2025-02-17 10:32:43 -12","TAKE_PROFIT_ORDER","ON_FILL","","1.04750","","","","","","","","","","","","","",""
"104","2025-02-17 10:32:43 -12","STOP_LOSS_ORDER","ON_FILL","","1.04900","","","","","","","","","","","","","",""
"105","2025-02-17 12:57:02 -12","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.04750","2000000.00","Buy","190.0000","","","","0.00000","","0.0000","1.0000","0.0000","1500.00000","","86642.41"
"106","2025-02-17 12:57:02 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","",""
"107","2025-02-18 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-31.21990","","","","-0.1498","","","86611.19"
"","2025-02-18 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-30.52400","-0.0125","","","","","",""
"","2025-02-18 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.69590","-0.0127","","","","","",""
"108","2025-02-19 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-30.74320","","","","-0.1480","","","86580.45"
"","2025-02-19 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-30.21170","-0.0124","","","","","",""
